issue,subject,company,response,product_area,status,request_type,urgency,confidence,citations,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.",Claude access lost,Claude,"Unfortunately, Claude support cannot restore access to a team workspace on behalf of non-admin users. Please contact your organization's Claude admin or IT admin to have your seat restored.",Claude,replied,product_issue,3,1.0,cl-002; cl-001; hr-019; vs-003,"According to [cl-002], Claude support cannot restore access on behalf of non-admin users. Additionally, [cl-001] clarifies that only Admins and above can manage member seats, and [hr-019] and [vs-003] are unrelated to the issue at hand."
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,"Unfortunately, HackerRank does not allow support agents or candidates to modify test scores. If you believe there's a technical error in grading, please have your recruiter review and contact HackerRank support on your behalf.",HackerRank,replied,product_issue,1,1.0,hr-010,"According to HackerRank's policy, scores are calculated automatically and cannot be modified by support agents or candidates. Candidates can only appeal scores through their recruiter, as stated in [hr-010]."
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.",Help,Visa,"To dispute a charge on your Visa card, contact your card issuer or bank using the phone number on the back of your card. You can also initiate a dispute online through your bank's portal. Keep records of any merchant communications as evidence.",Visa | credit_cards,replied,product_issue,3,1.0,vs-002; vs-012,"The user's issue is a dispute about a specific transaction (wrong product, not received). According to [DOC_ID: vs-002], the user should contact their card issuer or bank to dispute the charge. Additionally, [DOC_ID: vs-012] suggests filing a complaint with Visa, but this is not necessary for individual transaction issues."
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,"To request a refund for a mock interview, please contact support with your session details, including the session ID, time, and description of the issue. Refund eligibility will be evaluated case-by-case.",HackerRank | interviews,replied,product_issue,2,1.0,hr-011,"The issue is related to mock interviews, and the refund policy is documented in [hr-011]. However, the user is requesting a refund without providing the required session details. The user should follow the steps outlined in [hr-011] to request a refund."
I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?,Give me my money,HackerRank,Please contact the billing team to discuss your payment issue with order ID cs_live_abcdefgh. You can submit a billing support request via https://portal.usepylon.com/hackerrank-support/forms/customer-request-form.,billing,escalated,product_issue,3,1.0,hr-012,"The issue involves a billing and payment dispute, which requires escalation to the finance/billing team. [hr-012] states that HackerRank support agents cannot directly process refunds. [hr-012] also provides the correct procedure for submitting a billing support request."
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,"To fill in the InfoSec forms for your company, please contact your HackerRank account manager or submit via the customer request form. You can also access the Security portal at https://security.hackerrank.com/. Support agents cannot fill in third-party InfoSec forms.",HackerRank | general,replied,product_issue,1,1.0,hr-013,"According to [hr-013], support agents cannot fill in third-party InfoSec forms. The customer should contact their account manager or submit a request via the customer support form. Additionally, the Security portal is available for further information."
i can not able to see apply tab,"I need to practice, submissions not working",HackerRank,"Please check if you are logged into the correct HackerRank account, verify the feature is available in your region, update your browser, and ensure cookies are enabled. If the issue persists, clear cache and cookies, then reload. If the problem continues, contact support with your browser and OS details.",HackerRank | community,replied,product_issue,2,1.0,hr-014; hr-015,The issue is a clear FAQ fully answerable from the corpus. The user's problem with the Apply tab not being visible is addressed in [hr-014]. The issue with submissions not working is addressed in [hr-015].
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,"Try checking for current HackerRank maintenance windows, and if the issue persists, try a different browser (Chrome recommended) and disable browser extensions that may interfere. If the issue persists, clear cache and cookies, and if the problem continues, escalate to support with browser details, challenge name, language, and error message.",HackerRank,replied,product_issue,3,1.0,hr-015,"The issue is a platform-wide problem, and the troubleshooting steps are outlined in [hr-015]. If the issue persists, it may be a platform bug, and escalation is necessary."
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,"Please check the relevant support documentation for troubleshooting Zoom connectivity issues during the HackerRank compatibility check. Ensure Zoom is installed and updated to the latest version, allow camera and microphone permissions, and test Zoom independently at zoom.us/test.",interviews,replied,product_issue,3,1.0,hr-016,"The issue is a clear FAQ fully answerable from the corpus. The provided documentation [hr-016] outlines the steps to resolve Zoom connectivity issues during the compatibility check. The user has not followed these steps, which are the only possible solution according to the documentation."
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,"To reschedule your HackerRank assessment, please contact the recruiter or HR team that sent you the invitation. They will be able to assist you with rescheduling.",assessments,replied,product_issue,1,1.0,hr-017,"According to [hr-017], candidates cannot directly reschedule HackerRank assessments through HackerRank support. The assessment schedule is controlled by the recruiting company (employer)."
"Can you please confirm the inactivity times currently set (and are they different for candidate/interviewer)? 
Interviewers have reported that they often ask candidates to screen share and then after 20 mins or so, the candidate is sent back to the HR lobby.

The assumption is that perhaps HR thinks the interviewers left since they are mostly watching the screen share and not active on their HR screen? 
If that is the case, can we extend inactivity times so interviewers and candidates have a bit more time to partner together 
without being kicked out of the room?",Candidate inactivity help,HackerRank,"Interview inactivity times are configurable at the account level. To extend inactivity times, please contact HackerRank support. Interviewers can avoid timeout by periodically interacting with the HackerRank interface.",interviews,replied,product_issue,2,1.0,hr-018,"The issue is related to interview inactivity timeout settings, which can be configured at the account level. The provided documentation (hr-018) explains the inactivity detection and timeout settings. The solution is to contact HackerRank support to extend the inactivity times."
"it’s not working, help",Help needed,None,"Unfortunately, we can't assist with issues that don't provide specific details. Please try the troubleshooting steps in our documentation, such as checking the Anthropic status page or refreshing the browser.",Claude,replied,product_issue,1,1.0,cl-002; cl-009,"The issue is too vague to provide a clear solution. The provided documentation (cl-002, cl-009) suggests troubleshooting steps for common issues, but the user's problem is not specified. Escalation is not necessary as the issue is not related to billing, security, or platform-wide outages."
"Hello! I am trying to remove an interviewer from the platform. I am not seeing this as an option when I select the three dots next to their name. 
Can you let me know how to do this?",How to Remove a User,HackerRank,"To remove an interviewer from the platform, go to Settings → Members, find the user in the member list, click the three-dot menu next to their name, and select 'Remove member' or 'Deactivate'. If the option is not visible, you may not have admin or owner permissions.",HackerRank,replied,product_issue,1,1.0,hr-019,"The user is looking for instructions on how to remove an interviewer from the platform, which is covered in the relevant support documentation [hr-019]."
"Hi, please pause our subscription. We have stopped all hiring efforts for now.",Subscription pause,HackerRank,"To pause your HackerRank subscription, please contact your account manager or submit a request via the customer support form. You can find the form at https://portal.usepylon.com/hackerrank-support/forms/customer-request-form.",HackerRank | settings,replied,product_issue,2,1.0,hr-020,"According to [hr-020], HackerRank subscriptions cannot be paused directly through the platform. To pause hiring, contact your account manager or submit a request via the customer support form."
"Claude has stopped working completely, all requests are failing",Claude not responding,Claude,"Try the troubleshooting steps outlined in the Claude documentation: check the Anthropic status page, refresh the browser, log out and log back in, try a different network, and clear browser cache and cookies. If the issue persists, contact Claude support via Settings → Get help.",Claude,replied,product_issue,3,1.0,cl-009,"The issue is a clear FAQ fully answerable from the corpus. The provided documentation [cl-009] outlines the steps to troubleshoot Claude errors, including not responding. This is a product_issue with urgency level 3."
